neighbourhood,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_dayofweek,neighbourhood_group_Central Region,neighbourhood_group_North-East Region,neighbourhood_group_West Region,neighbourhood_group_East Region,neighbourhood_group_North Region,last_review_season_Southwest Monsoon,last_review_season_Northeast Monsoon,last_review_season_Hot and Dry,last_review_season_Inter-monsoon,room_type_Private room,room_type_Entire home/apt,room_type_Shared room,airbnb_era_Post-Maturity,airbnb_era_Maturity,airbnb_era_Significant Growth,airbnb_era_Growth,price
153.04395604395606,1.2971,103.83958,1.153089412301921,0.6294841510589716,0.10647733208888645,1,318,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,60
171.4394618834081,1.31773,103.84633,0.5476604871793528,2.7377201944932965,0.7328096688114276,3,351,4.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,94
154.3695652173913,1.29884,103.88546,1.0877874362219921,1.6925959414637473,0.5563604049114629,15,295,2.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,147
135.9655172413793,1.30013,103.86367,0.8827548615480663,1.293148584843654,0.10647733208888645,1,0,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,147
171.4394618834081,1.32417,103.85016,1.2039839690360306,1.4059131647005323,0.2604214878014762,67,318,6.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,106
135.9655172413793,1.31054,103.86098,0.5476604871793528,1.7853009529303008,0.16502477606448082,20,351,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,462
190.68,1.29312,103.83046,0.5476604871793528,1.89245096344469,0.6048685317206348,30,235,3.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,122
218.83333333333334,1.29748,103.8575,0.7632875349901244,1.6925959414637473,0.772333378376041,6,22,1.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,268
135.9655172413793,1.31419,103.85089,1.353312099935691,2.696856387031212,0.7371607470044386,1,189,5.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,72
102.6923076923077,1.44154,103.82393,1.0877874362219921,0.6294841510589716,0.019586148211334076,2,364,3.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,54
154.84883720930233,1.28862,103.84868,0.5476604871793528,1.146990051546535,0.6048685317206348,8,348,1.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,119
135.9655172413793,1.31464,103.85769,0.8827548615480663,0.9444332094556629,0.33884122099223424,203,358,3.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,118
